content,label
"We are sending to you the inquiry with the information as below. 
Please kindly check & offer us your best price for this inquiry as earliest. 
*Pls comment enough below information on your quotation: 
- Price term: 
- Delivery time: 
- Payment term: 
- Model/ Part number/Brand/Origin should be clarified on quotation. 
- Certificate sample, CO, CQ/ catalogue/ drawing c/w quotation to be required. 

End user: Vietsovpetro. 
Certificate to be required: CO, CQ (original). 

No. Description P/N Technical Characteristics Manufacturer Unit Quantity 
CPP SYSTEM Type: BCP 1040 & HDX-5000.(BERG Propulsion) unit: CPP; Hydraulic system: Pump type-PD100/EL PD100, Motor Ty pe-3PH,4 POLE 
6 Filter element - - FV2014 (Hydraulic tank unit-BCP, Dr: 50187) BERG/EU/G7 PCE 4.00 
7 Filter element - - FV2025 (Hydraulic tank unit-BCP, Dr: 50187) BERG/EU/G7 PCE 4.00 
8 Filter element - - FV2017 (Hydraulic tank unit-BCP, Dr: 50187) BERG/EU/G7 PCE 4.00 
BOW AND STERN THRUSTER Type:BTT216-CL-02 ,P50 Bar ,Power :590Kw 
9 Filter cartridge (hydraulic unit) - - FV2011 PCE 6.00 
10 Shaft coupling - Pos. 7 - AK96016 BERG/EU/G7 PCE 3.00 
11 Filter cartridge - Pos. 17 - FV2011 BERG/EU/G7 PCE 3.00",External Relationship
"Dear Mr. Huy,

Hereunder is the revised offer with 5 reels and delivery to HCM as requested.

[DSR KOREA] 

[POWERMAX] 
GALVANIZED STEEL WIRE ROPE, PREFORMED 
ONE END WITH GOLDEN NOSE CLOSED SPELTER SOCKET (ROPE BLOCK) 
DSR STANDARD, EEIPS GRADE, RHRL, A-2 LUBE, FORM AK 
WITH MILL & ABS CERTIFICATE / REEL, PUT UP : ON STEEL REEL 
CONSTRUCTION : 6XWS(36)+IWRC 

DIA(MM) MTR/REEL REELS PRICE/REEL TTL AMOUNT MBL (TON)
76 1,500 5 US$54,700.00 US$273,500.00 422.0
G.TOTAL ? 5 ? US$273,500.00 ?

NET WEIGHT : 36,150 KG / REEL 
STEEL REEL DIMENSION : 2300 X 3600 X 930 X 125 

EXW DSR KOREA 
SEA FREIGHT TO HCM (IN BULK SHIPMENT) : US$34,000 
ETD : WITHIN 2 MONTHS AFTER ORDER CONFIRMATION 
PAYMENT : T/T IN ADVANCE OR IRREVOCABLE L/C AT SIGHT 
OFFER VALIDITY : TILL 28TH OF FEB., 2020 

* A-3 type is not available for your information. 
* Price Term : EXW DSR Korea (The sea freight is indicated above.)
* Delivery Time : Within 2 months after order confirmation
* Payment Term : T/T IN ADVANCE or BY IRREVOCABLE L/C AT SIGHT
* Sample Cert. & Catalogue (refer to POWERMAX) are attached.

Best regards,
",Sales
"I like the site. This site has ""chicken milk"". From there we saw the ad for the car we bought. I bought baby clothes, walker and toys. I am pleased. There are all prices - someone is high, but someone is very profitable. In addition to buying from there, we also sold a lot of things. This site remains the largest advertisement site in the country.",Customer Care
I received my order today. I am very pleased with the online store. Do not hesitate to order anything. Thanks!,Customer Care
"Good quality at low prices. The site offers a wide selection of clothes, services, accessories, perfumes and other products. Prices are acceptable, often putting on sale products, which are very profitable. Their quality is at a level, as well as orders the products arrive to a day or two and do not delay at all.",Customer Care
"Dear a. Kha, 

This line I only have the Din931 lace.",Sales
"Request for quotation MR 135/18 BD 
Attached datasheet and certificates for your reference.

Looking forward to the PO.",Sales
"Hello
I will return the contract with 2 ACB bared. He watched the feedback soon helped me.
Thanks you
",Sales
"Hi we hope you well 
Could you give us ""VESSEL NAME OR IMO"" NO for the estimate? 
And kindly inform us the part no of the list 


item Part no. 
Fuel shutdown valve ,Type: DC 24V 
Electric starting motor,Type: DC 24V 
Speed sensor 
Cooling water high temperature switch 


In case you have any further questions please do not hesitate to contact us",Sales
"Thank you for your support, 

I would like to send to you the Quotation from SLC and Alpha as the attachments,",Sales
"Dear Mr Nam,

Yes, we understand there are these 2 APS products available, we are APS agent however there are no ex stock available at the moment and the indent MOQ is high.

Teldor specs is SHF2 as well, can you please check with VSP if its acceptable? VSP have used Teldor products in the past…. 

But if you still want APS, we will check and quote based on the MOQ. Please advise…..

Thank You.",Sales
"Any news for this order? 
Please check and revert to us as soon.",Sales
"Everything was fine. The order order was standard. I liked that I could wait with the order, not order only 1 product. Delivery was fast and correct. I chose this online store because it offers a low price for good quality. Delivery was relatively fast for an economical option. There were no surprises in delivery. The store offers really competitive prices. The customer service is of good attitude to customers. I'm glad I came across this site. The service is level. The goods too.

Because the price offered for the particular product was the lowest I found.

A larger variety of products",Customer Care
"This LO condenser is not available, at least 16-18 weeks
Maybe Huy can contact GEA to buy spare parts or Gasket can have stock",Sales
"Dear Song Linh service Company,

First, the Board of Directors of OPL Company would like to send to our partners respectful greetings, good luck and success.
OPL company is a leading company in the field of providing investment services. With the business philosophy ""Do not invest capital but still bring income to your partners"", always want to bring success to all partners. Because we think that the success of our partners will be our own success.
OPL company would like to send an invitation to cooperate with our partners to jointly carry out our business activities in the present and future.
We propose the following form of cooperation:
We provide our partners with the company's product catalog for you to introduce and sell products to customers. At that time, we will send you an attractive commission and other discounts for introducing and selling products to customers.
We are committed to always giving our partners the best products and services with reasonable price policy, high discounts and many other incentives. With goodwill to cooperate for mutual development, OPL Company strongly believes in the good and long-term success in the cooperation process between us and our partners.
.
Thank you very much!
Best regards,",External Relationship
"Could you please help me to update status of this valve? 

We looking forward to your kind response,",Sales
"Dear Adrian, 
Please help me to cancel invoice in Singapore side as customer cancelled order. So sorry about this matter 

SAFETY INTEGRITY PERFORMANCE 

Thank you 
Best Regards,",Sales
"When I buy products from your company, in the payment section I have to choose to pay on delivery or pay online. I want to ask, if I pay online via bank card, will I get any benefits when buying the product? I look forward to receiving your feedback.",Customer Care
"Dear Mr. Kha, 

I send you the quotation file and catalog file. Please check your email! 

It is a pleasure to support and cooperate with you!",Sales
"Thank you for your quotation. 

We well noted your offer included AFT Shaft Seal STA-260 Service Kit and we also informed to owner. 
The owner is getting price for budget estimation and notice to you once we get more information.",Sales
"Dear Mr. JK, 
Yes, we can accept other alternative. But please follow our enquiry: Insulated cable 95 mm2 Voltage withstand test 20KV during 60sec. 
Cert: CO by chamber of commerce, CQ, Test Certificate. 
Thank you so much",Sales
"- In the case we need C/O from chamber of commerce & C/Q or COC from the producer please kindly check and inform us how much does it cost? A certificate from The Chamber of Commerce for the materials in the attached quotation would be 90.00 Euros. 
- In t",External Relationship
"Dear Mr. Robert, 
Ok, please confirm us when you have a news from marker. 
And please send us letter confirm bank detail. Thanks you! 

Best regards, 
",External Relationship
"Hi Kha, 

Thanks Kha to send orders! 

CPTECH quotes cortem & weidmuller as attached. 

Price does not include VAT 
Delivery DDP Vung Tau: 12-14 weeks 
Co & CQ from Cortem & Weidmuller manufacturer (Copy) 
ATEX/IECEX fire resistance certificate (Copy) 
Origin: Cortem -anty, Weidmuller - EU 
Chamber of Chamber: 100 USD 

Catalog file attached! 

Thank you very much and look forward to cooperation!",Sales
"Dear Ms. Thuy,
He will order this order. I quote for me again.
",Sales
"Your Item Ready ,kindly please advise the delivery instruction . 

Attached Copy of COO. 

Gross Weight :3.00Kgs 
Dimension Size : 30X20X17cm",Customer Care
I can support you with 5% discount at SGD6092.00 each for order entered within March,Sales
"Thanks you for your support! 
We would like to introduce Ms. Amy, our forwarder who will pick up the shipment. 
Note: Please, put certificate of quality or certificate of conformity (original) together the goods, our customer do not accept the goods if we have not the cert.",External Relationship
I placed the order on Sunday. On Monday at 13:00 I had a missed call from your order confirmation employee. I hardly contacted you on Tuesday afternoon and this delayed the order.,Customer Care
"Thanks for your respond. 

Regarding this inquiry, our distributor Bao Nghi will assist you for quotation. 

6 Air Filter Regulator Port Size: 1/4"" PTF; 
Material: Stainless Steel; Diaphragm & Mounting: Relieving With Panel Nut; 
Drain: Automatic; 
Element: 5 ?m; 
Outlet Pressure Adjustment Range: 0.4÷10 Bar; 
Thread Form: PTF 
Reference odering code: B38-244-A1MA or equal Norgren 
or equal pce 2 
",Sales
"Dear Nguyen san, 

Good day. 

Sorry for keeping you await. 

We pushed the makers in order to get quotation. 

As soon as they send to us, we submit it to you. 

Please kindly wait for it. 

I'd appreciate to your kind patience. 


Best regards, 

Chiharu Iino (Ms.) 
Machinery Services Division, Fuji Trading Co., Ltd.",Sales
"Dear Ms. Roof,
I need to order SKF as below:
Ball Bearing 6204-2z PCS 5
Ball Bearing 6205-2Z PCS 8
Please quote for me.
",Sales
"Happy new Year to you! 
Our deadline is 06/02/2020. Please, send us your quotation. 
Thank you so much. Hope to receive your mail.",Sales
"Send him a quote as an attachment. 

The confirmation will order and deliver it early to him as if talking on the phone. 

Please give the order to transfer according to the information below: 

East Maritime Technical Company Limited 
Address: A14 Tan Thuan Nam Project, Quarter 02, P. Phu Thuan, District 7, Ho Chi Minh City 
Phone: 028. 38731906/05 Fax: 028. 38731904 
Do Mrs.: Vu Thi Thuy Huong Position: Director is representative. 
Account: 018.1.002565810 at Vietcombank - South Saigon Branch. 
MST: 0303533409",External Relationship
"There is no communication, not responding, I do not recommend",Customer Care
"Hello, Tuan, Sales Department - Hung Phat Company, Ho Chi Minh City, Hung Phat Equipment has advised to welcome: M5000, currently, have you planned to buy new yet? 

If you need equipment advice, please contact Hung Phat",Sales
"Dear Mr Huy, 
DBL Company would like to send payment suggestions in the attached file. 
Best regards",Sales
"Dear Ivy,
Wish you are well and healthy!
During this special period of Chinese holiday after one month, Antesky would like to offer you the information of our products available in stock with goods package ready, and if you purchase now, we can ship immediately for you. Please kindly check below as details.


Keep smiling and never give up, even when things get you down.
With warm regards,
Carolyn
",External Relationship
"Upon request, I send you a quote for components as attached file.
The goods we provide have all the CO-CQ papers.

Please take a look at the quote and if you need any other information, please contact me.

Thank you.",Sales
"Good morning to you. 

We have already submitted price to the owner and they want to clarify about the offer price: 
1. Seal kit set of STF 260 PTSC Hai Phong ships: EUR 962.00 / set. 
2. Seal Kit set of STF 300 PTSC Thang Long vessels: EUR 3,992.00 / set. (Quotation 5799Q007-1). 

Kindly clarify the reason for the difference in offer price as above and feedback us asap.",Sales
"Dear Mr. Jones,
My name is Joanne Stern. I’m the lead purchaser for Walk Softly service company and am interested in your “Comfort Flats” line of footwear.
Could you please email me the fall 2023 catalog preview for your Comfort-Flats line? I’m in the process of selecting styles for the fall 2023 season and would like to add more quality flats to our store offerings. I’ll be finalizing selections and placing orders by the end of the month and would be so appreciative if you could send the catalog by the end of this week.
Thanks very much for your assistance. I will be in touch by the end of the month should I select any of your product for Walk Softly.
Sincerely,
Joanne Stern",Customer Care
Have we received payment for SI1046974?,External Relationship
"The side will check and send UNC file scan when the transfer is complete.
Good luck and energetic at the beginning of the week!
",External Relationship
"I have great impressions. The order is easy. It saves time and effort.

personal observations
the lowest price
Tap and free shipping",Customer Care
"Dear Anh Nhut, 

Thank you for your feedback. 
I reported an accountant to transfer 50% in advance for you, but I will send it to UNC morning. 
He supported the order for me so that the goods could return as soon as possible 
",External Relationship
"Nice to introduce to you about the new K3 ? Nguyen company as an open letter. 
Need more information, you can see more in the following website: 

www: kynguyenmoi.vn 
www: vungtausmarthome.com 

Thank you very much for your interest. Hope to have the opportunity to cooperate with Song Linh.",External Relationship
"Good day. 
Please refer to document with signed & stamped. 

P.S) If you have any query for Korean Items, please send plant@ktechcorp.co.kr 

Our Bank Name is KOOKMIN, we do not change our bank and let us know if you receive a message to change the bank.",External Relationship
"He sends the attached price, the following 2 items can not offer the price",Sales
"Thank you for your email, 

Dear Ms. N??ng, 

Could you please help us to re-check and give us the discount for this job?",Sales
"Good day to you! 
please, send your PI and PO scan for us. 
thank you so much!",External Relationship
"Thanks for your order. 

Kindly confirm this order is for VUNG TAU 05 or 06? 
According to our records, engine number of 05 is 039190 & 039191 while engine number of 06 is 039192 & 039193. 




Please also change DHL Courier Charges to Airfreight Charges in the draft PO. 
I have forgotten that we can only apply for Chamber of Commerce CO for airfreight shipment. 
Sorry for the inconvenience caused. 
Kindly confirm Airfreight is acceptable for you. 

",Sales
Packing list will be provided after order confirmation. What do you mean list spare part for item 1?,Sales
"Good Afternoon! 
Thank for your quotation! 
we would like clarify your quotation as below : 
• Certificate, CO by chamber of commerce: will follow in case of order ? were you add Charge CO in Price? If you have not charge CO in Price, please, add fee at next mail. 
• Could your please provide to us ABS/DNV certification for offshore installation? 
• Delivery time ? please, send to us G.W and Dimension for the shipment. 
Because this is a bid. Please, send to us your best price.",External Relationship
"Dear Song Linh service Company,

I'm John - Head of the M&N contest organizer.

The contest aims to find great ideas and put them into practice from students who have a passion for Marketing, especially Digital Marketing, in addition to training their thinking ability, presenting their thoughts to students. pellets. This March, we will hold a Digital Marketing contest called M&N.

The M&N competition aims to become a useful academic playground for students to confidently showcase their talents, knowledge, bravery and especially creativity, at the same time, the program also is a practical bridge connecting students and businesses, giving you the opportunity to experience, exchange, learn from experience, develop ideas, build a digital marketing campaign.

In order for the program to be successful, I look forward to receiving your companionship as a sponsor of the M&N Contest.

In order for you to have an overview of the program, I would like to attach a detailed program plan (with attached file).

If you have any questions about the program, please reply directly to this email or contact us at 0125878967 (John).
Once again, the organizers of the M&N Contest sincerely thank and hope to receive cooperation from you.

Wish your business work effectively and successfully!

Best regards
M&N Competition Organizing Committee.",External Relationship
"Hi Huy,

Because many companies participating in this contract have asked the UK to issue a sales license. In the past, there have been many cases of using the sales permit in the UK to participate in the bid, but when winning the bid, buying goods from abroad, so his boss only granted for reliable long -term sales partners or granted or granted After receiving the order from my side.

Thank you very much,
",Sales
"Order order - normal,
Client Service - responds quickly and accurately,
Store quality and order - excellent

I decided to make the purchase from this store:
- Guided by own attempt at reliability and good price",Customer Care
"Good day to you! 
We are contracting with customers. They will order 3 lamp. 
They still wonder about capacitors, because they want to buy it. 
Could you please offer us a reputable capacitor vendor? The vendor have catalogue for capacitor. 
Hope to receive your mail.",Sales
"Dear Anh Nhut, 

Mr. Nhut checked me to ask below and give me the best price: 

"" 
3000W 2x440V electric kitchen surface size 300mmx300mm type A0336: 4 pieces",Sales
"Fedex will come to pick up the goods tomorrow. 
They request for invoive final US$84,900. 
Please send it asap.",External Relationship
"Dear Mr. Okay,
I need support for the following product quotation:
21 Power Supply Unit Input: 100 ÷ 240VAC, 1.8 ÷ 0.7A, 50/60Hz
Output: 24VDC, 4.2A
Power: 100W
Reference odering code: ABL1Rem24042 Schneider Electric
or Equal PCE 1
Please check and quote for me.
Looking forward to your quotation.
",Sales
I was immediately called for confirmation of the order and clarification of the delivery address. They were very kind and the order arrived the next day.,Customer Care
"Thanks for your enquiry 

Enclosed the Quotation (6713Q025) 
** Please take note that the Cert of Quality & Quantity will be issued by Seller. 

We hope that the quotation is in accordance with your requirements and looking forward to receive your order. 
If you have further enquiries, please do not hesitate to contact us or SEA Aftersales Manager – Mr Damien Ho Mob: +65 9622 6162 for clarifications.",External Relationship
"Mr. Vu, please help me bid for this package:

Original EU/G7 bro.
Because the file is too big, I will attach the document to Zalo.

Best regards,",Sales
"Great store. I recently ordered a promotion blouse for 10 leva and I am very pleased. It arrived quickly, and the garment itself is of very good quality, and it is just like the photo. They have a very wide range and I intend to order again as there are many tempting offers. I like that there are big discounts, and without them the goods are at lower prices than those in stores. The only thing I don't like is that most of the clothes I like are only 1 size available.",Customer Care
"Dear Anh Kha, 

As discussed with you, I sent Mr. Thu's confirmation of my part number about the part number as mentioned, details you see the attached file to help me. 
Thanks to you sending the right request to Loop Mail to help me make it easy for me to follow. 

Thank you.",Customer Care
We have a good news. We will process to order in the near future. could you please inform us if changes in price and delivery time due to n-COV virus?,Sales
"Dear Hui Min,
I checked price and datasheet.
For your quotation. The price is higher than Budget. Could you please quotation the cable cheaper?
",Sales
"Fast delivery kindly service

Great vessels I am very pleased now I will order and other

There are no disadvantages",Customer Care
"The order was accepted very quickly, I had indicated one courier company they replaced it with another, and from there it was a 12 -day delay. I ordered two items with guarantees and I received one receipt for the whole value. Now one item is without guarantee because there is no receipt.

I liked it myself.",Customer Care
"Dear Mr. Andy, 
Good day to you! 
We resend our enquiey as below: 
Hydraulic hose Size 3/8''. WP 95 Bar, 1200 mm Length pc 1 1/2"" Union/Swivel BSP 60° Female two end 
Hydraulic hose Size 1/2''. WP 250 Bar, 3900 mm Length Connection 1: 1/2"" Union/Swivel BSP 60° Female Connection 2: 1/2"" Union/Swivel BSP 60° Female Fitting material : AISI 316 pc 1 HOSE: ABS Type Approved FITTINGS: ABS Type Approved 
Hydraulic hose Size 1/2''. WP 250 Bar, 1000 mm Length pc 1 1/2"" Union/Swivel BSP 60° Female two end 
Hydraulic hose Size 1/2''. WP 250 Bar, 1200 mm Length pc 1 1/2"" Union/Swivel BSP 60° Female two end 
Hydraulic hose Size 3/8''. WP 95 Bar, 1000 mm Length pc 1 1/2"" Union/Swivel BSP 60° Female two end 
Hydraulic hose Size 3/8''. WP 95 Bar, 1200 mm Length pc 1 1/2"" Union/Swivel BSP 60° Female two end 
Please, support us at today! 
Thank you so much!",Sales
"Hi Huy,

Please pay according to the account number (VND) on the invoice.

Thank you very much,
",External Relationship
"Dear Ms. Roof,
I need to ask the price for the product as follows:
44 Deep-Groove Ball Bearing (with Brass Cage). 6030 C3 - 6030 C3 - For Cargo Oil Pump 4000/115 and Axial System SKF 2.00
45 Angular Contact Ball Bearing (with Brass Cage). 7030b C3 (High Axial Load Capability) - 7030b C3 - For Cargo Oil Pump 4000/115 and Axial System SKF 2.00
46 Deep-Groove Ball Bearing (with Brass Cage). 6234 C3 - 6234 C3 - For Cargo Oil Pump LAILB 4000/115 and Axial System SKF Case 2.00
47 Angular Contact Ball Bearing (with Brass Cage). 7234b C3 (High Axial Load Capability) - 7234b C3 - For Cargo Oil Pump 4000/115 and Axial System SKF 2.00
Please check and quote for me to include PTM, CQ NSX.
We hope to receive your feedback.

Best Regards,
",Sales
Ordering becomes quick and easy,Customer Care
"Dear D?ng/Vân, 

I follow this order to receive and import goods for you. 

Thank you and Best regards!",Sales
"Hi Hung,

Please see the quotation & catalog in the attached files. Go to the website: https://cumminsfiltration.com to print the catalog of AF265, FF42000, DCA65L & LF3959.

Thank you very much,
",Sales
"The next day after my order, I was called from the store to cheat the item and give me information about an expected delivery day. The phone arrived as promised, within 2 days of our phone call. A little surprise was the cost of the courier, 12 BGN at my expense. It is understandable to have such an expense, in the way of the low cost of the apparatus, but this is not clear during the creation of the order. The most unpleasant thing is that there was only a guarantee in the sent documents, without an invoice, without a cash voucher. I asked for an invoice by email, in response to the confirmation of the order, but alas, 9 days after my application, it has not yet been fulfilled. I continue to expect the invoice and the cash voucher for the purchase, and if I do not receive them, I will act the other way.

Low price, decent delivery time.

They deliver without an invoice and a cash voucher, I am not sure if the guarantee will be valid in such a case.",Customer Care
"Dear Mr Tuan, 

Thank you for your contact. Before sending a quote, we need to know the project / investor information. 
Please provide this information for us to register with NSX. 

Best regards,",Customer Care
"Currently, I need to ask the price for the following product: 
Refrigerant - Liquid Line Filter Drier 
Type EK -164 
Maker: Emerson - Ek PCS 3 Liquid Line Filter Drier For UPS Room HVAC 
Please check and quote for me.",Sales
"Dear Anh Kha,

Good morning!
My side sent you a quote for the fitting lot as the attached file.
If you need more help, message me.
Hope to hear from you soon.",Sales
"We will proceed to order for the item as below. 
Please consider supporting a discount for us because this is the first time we deal with each other and I hope to have more orders in the future. 
Could you please check the delivery time and confirm it for me. 

“QRAE III Gas Meter” 

http://www.orientmarine.com.vn/may-do-khi-gas/may-do-khi-honeywell-rae-systems.html 

1. Type with suction pump (used to remotely measure tanks, tunnel through rubber hoses dropped from the mouth of the tank/cellar): 21,000,000 VND/1 piece 
(If you buy another 10 m of wire, the price of 1m = 50,000 VND) 

+ The selling price does not include 10% VAT. 
+ Delivery time: 1-2 weeks""",Sales
I had a claim on which they reacted immediately,Customer Care
"10 days after I placed an order through their site and there is no answer yet, they do not pick up the phone. They also have no address - how will I find them for the 2 years of warranty?
Finally, they justified that my phone had been turned off. Which is not true - it may have lost the range for a while, but has never been excluded. Have they answered me on e -mail questions - or was he hatched? They justified that the order was from their competition, but they and their competition was the same - now I was waiting for JAR and they did not know when they would receive it, but they assured me that it was today for tomorrow.

there is no. I was lied to at the lower price

amateur site. incorrect and frivolous attitude. There is no address. Where are the phones warranty?",Customer Care
"This order, my side will issue an invoice according to the information of the Huy, the scan sent to the Huy - the party transfer 100% of the order value sent to the Unc scan to his side. 
After I confirmed that I received the money, my side would deliver the goods to the address of the requesting party, the cost of the paid party.",External Relationship
"""Dear: Vi & Ngoc Anh; Ms. Dung is MSB Head Office staff specializing in Trade Finance (import and export; loan consulting Output contracts...)
So 02 children can contact Dung for quick and best support: Hoang Thi My Dung (Ms.)
Solution Center - Transaction Bank
Address: 2FL, 180-192 Nguyen Cong Tru St., Dist.1, HCMC
Mobile: 098.4040098
Email: dunghtm@msb.com.vn

Best regards!",External Relationship
