content,label
"Dear May,

The yard for guests is as follows:
Time: tee at 12:35 on June 21, 220
SL: 4 Flash
Price:
Please confirm and help me and my yard to arrange tee.",3
"Dear Huy,

Send the program and BG event costs.
If you have a company logo on our side, please bring Huong to re-design it in the BG program.
The part of the payment before now, please add.
Hope to get Job.",2
"Dear customers, Thank you very much for using VNPT-SOFT's services.
Account information:
Customer name: Song Linh Service And Trading Co., Ltd
Username (Username): KH.4075
Password: 9QCwymxi
Access link: https://aeengineering.vnpt-invoice.com.vn
Best regards!",2
"A&E ELECTRICAL ENGINEERING CO., LTD would like to thank you for the enthusiastic support of your company and customers.
A&E ELECTRICAL ENGINEERING CO., LTD has just issued an electronic invoice to you: Song Linh Trading And Service Company Limited, Tax code: 3500904295.
- Invoice number: 0019296
- To view detailed e-invoice, [Click here to view online invoice]
- To download the original e-invoice, [Click here to download]
- To download PDF invoice, Click here
- Related documents (if any): please see attached file
If you have any questions about invoices or payment related issues, please contact our accounting department for the best support.
Hotline for accounting department: 0903 373 170",2
"
Dear Mr(Sister)
A&E Automation - Electrical Engineering Company (Supplying electrical equipment specializing in Schneider, ABB, Thinh Phat Cables, Electrical cabinets...)
It is known that you have purchased electrical equipment from A&E Company before, now I contact you again so that in the future if you have a need to buy, please contact me, I will offer you the best price. (sister).
Wishing you a happy and productive working day.
Thank you (sister)!

Thank you Regard !",2
"Dear Ivy,
Wish you everthing goes well in the penultimate month of 2020!
For 1.2m automatic flyaway antenna,these recent months we customized the frequency for one customer,and we did the testing, so we'd like to share this information to you. 
Please kindly check below and attached details.


Thanks.

For what it's worth, it's never too late.
",2
"""Dear: Vi & Ngoc Anh; Ms. Dung is MSB Head Office staff specializing in Trade Finance (import and export; loan consulting Output contracts...)
So 02 children can contact Dung for quick and best support: Hoang Thi My Dung (Ms.)
Solution Center - Transaction Bank
Address: 2FL, 180-192 Nguyen Cong Tru St., Dist.1, HCMC
Mobile: 098.4040098
Email: dunghtm@msb.com.vn

Best regards!",2
"I send you to refer to the import contract that opened the LC


Best regards!",2
"Thank you for the information you support, my side will consult and prepare. If you have any problems, I will talk to you more.

Have a nice day!",1
"Dear Chi Vy, Ms. Ngoc Anh.

I will send you instructions on the preliminary process of issuing LC.

1. Issuance of LC
_ Issuing LC draft: the company compiles information into the Request for opening LC according to the form of MSB with Contract/Invoice/Order….(may be a draft) to send to MSB for pre-release draft. The company sends the draft LC to the partner to check the contents and conditions... If there is any modification, then send it back to MSB to consider whether it is in accordance with the regulations or not. After the two parties have agreed to the content of the LC, the official LC will be issued.
_ Issuing official LC: after being granted a credit line by MSB and being qualified to issue LC, the company sends the original documents for official issuance (Request for opening LC, contract/invoice…, commitment…, commitment). open letter of credit) and maintain balance in the account to collect issuance fee, deposit (if any)….
_ MSB will send a telegram to the counterparty's bank and the SBV will notify the beneficiary to prepare the BCT according to the required LC.
Note: BCT must be sent from SBV according to LC.
2. Report about
_ MSB will check the BCT and send notice to Customer:
+ In case the BCT is valid: for LC at sight, the company is required to pay the BCT within 5 working days from the date of notification to receive the BCT. For deferred LC: the company accepts the payment to receive the BCT and after how many days of late payment, the company will pay the BCT to the partner.
+ In case of invalid BCT: the company considers the option to accept invalid and pay (LC at sight) / accept payment (LC with deferred payment) or disagree, ask the partner to resend documents Correct replenishment within 15 days of delivery, past the deadline replenishment will not be accepted.

In the process of arising, if you have any questions, please send email, we will support! Thank you.

Best regards!",2
"Hi Huy
My goods are back. I arrange to take the goods out to avoid storage fees.
I check the AWB below


Best Regards",1
"DHL EXPRESS
SHIPMENT ADVISORY

The following 1 piece(s) have been sent by AISHA MUSA from ALFA LAVAL TUMBA AB (SINGAPORE BRANCH) with DHL Express on 03/08/2019 using AWB# 2484981973.
If you wish to track this (these) shipment(s) please visit the DHL Web site at http://www.dhl.com/

If you have a Web-enabled mail reader,
Click the link below to view shipment tracking details:
http://www.dhl.com/cgi-bin/tracking.pl?AWB=2484981973


Shipment Sent To:
SONG LINH TRADING AND SERVICES COMPANY LIMITED
MR HUY
65/9 BINH GIA STREET WARD 8
VUNG TAU CITY
VIETNAM
BA RIA

Vietnam

Shipment Sent From:
ALFA LAVAL TUMBA AB (SINGAPORE BRANCH)
AISHA MUSA
11 JOO KOON CIRCLE
JURONG
SINGAPORE 629043
SINGAPORE
629043
Singapore

SHIPMENT CONTENTS:
1. CENTRIFUGES PARTSPO : 003/02.19/PO/SLC-ALS

SHIPPER REFERENCE: 15298506/0019101142/0008584793

RECAP

AWB: 2484981973
ETA: NO ESTIMATE
WEIGHT: 0.7 K(s)
PIECES: 1
CONTENTS: 1. CENTRIFUGES PARTSPO : 003/02.19/PO/SLC-ALS
REF: 15298506/0019101142/0008584793

PIECE IDS AND PIECE WEIGHTS:

PIECE ID PIECE WEIGHT K(s)
JD014600006784484042 0.7


Thank you for using DHL Express.
",1
"Dear Hung,

I send Unicon PO as attachment,

I check and give 20% payment urgently. If there is a money transfer, send him to push the company quickly.

Regards,",2
"Hello
I send you the price list attached file
If you have any information, please let me know
Thank you.",3
"Dear Ms. Page,
Currently, this is only an estimate, so there is no specific information about the project and the time to import goods.
Please check and quote for me.",3
"Hello
I have received your request,
Thank you for sending me the project information and expected time to import goods with ak.
Thank you.",1
"Dear Mr. Winter,
We have a request for pricing for the following products:
Router for network24-port 10/100/1000T stackable L3 switch with 4 x SFP+ ports and 2 fixed power supplies
Ports: 24 x 10/100/1000T PORTS, 4 x 1/10 GIGABIT SFP+ PORTS .
Routing Protocol: OSPF, RIP, BGP, static IPv4 routing, static IPv6 routing, policy-based routing (PBR)
Specifications and features:
- 1GB DDR3 SDRAM, 256MB NAND flash memory
- 4094 configurable VLANs
- 2 fixed power supplies
- Policy-based QoS
- EPSRing with SuperLoop Protection
- Virtual Chassis Stacking up to 8 units
- Long-Distance VCStack
- License for OSPFv2 (12,000 routes)
- Support OpenFlow for SDN, AMF (Autonomous Management Framework)
- AFM (Active Fiber Monitoring)
- 300 m indoor Cat-6 cable 04 sets

Year of manufacture: 2019 onwards, origin
Accompanying certificates: CO PTM, CO NSX.
Could you please check and quote for me. Looking forward to receiving your quote.",3
"Dear Ivy,

Thanks for your enquiry and interested on our solution. We want to get more details of your requirement so that we can prepare for the suitable solution and proposal for you. Could you please answer for the questions?

Is it only for the budgetary exercise? When will they buy it? Will it be the tender?
How many sites/vessels do you need for this project? I assume you will need the mobility support for the Vietsov petro vessel fleet Do you have the details requirement? Like which Satellite you plan to use? Throughput(uplink/downlink...etc)? 
Who will be the Competitor?

We can schedule an on line meeting for further discussion. 

Pls feel free to contact me if you have any question

",2
"Dear Sir/madam,
We are Solicom - a trading company in Vietnam. We are attending Vietsov petro Project about supplying and installation VSAT for the Vietsov petro vessel fleet. In Vietsov petro, they are using SatLink® Hub Family 9300 as attached file. 
And now, we would like to look for a new solution include hub, modem and Antenna. Please advise us new solution!
If you have any technical question, please feedback!
Thanks and Best regards!
",2
"Dear Kha 
I have asked Mr. L?i - Technopro Company one of Intellian partner in Vietnam to introduce us for the training course. We had already done some Intellian VSAT stations together before.
Would you please check the following names are confirmed:
1. Nguy?n Qu?c Nam
2. Ngô S? Nông
3. Hu?nh V?n ??t Thông
",2
"Hope you all well. We are very happy to choose a good product and professional support team as Intellian.
As previous, we has installed several Intellian VSAT systems via local distributor. And now, we need some official information about maintenance activities of Intellian VSAT system.
1. Can Intellian provide some documents and official procedures (with recommendation schedule time of maintenance, maintenance check-list etc.) of Intellian VSAT system.
2. Can you provide me information of a training program of Intellian VSAT system which will be hold in South East Asia this year.

Thank you very much.
",1
"Dear May,

C buk the yard for guests as follows:
Time: tee at 12:35 on June 21, 220
SL: 4 Flash
Price:
Please confirm again to help me and my yard arrange the tee.",1
"Thank you for your recent online enquiry.

Here is your quote for the Intellian V100 Home Sensor V3-4007.

Obviously shipping and VAT are subject to your location.

Kind Regards
",3
"As discussed with you, I am currently in need of buying 03 sets of NSSL Globle satlink 2910 Mobile Modem as the link below:
http://www.sat.link/slproducts/satlink-vsats/satlink-2910-mobile

Please consider helping me buy these 3 sets with you. I will talk to you over the phone about this.

Thank you,",3
"In the spirit of the attached quotation, please advise on the following contents for her to draft the contract:
• Timeline of LC . release
• Timeline of payments to suppliers.
In the case of this quote there is no deposit. Production time within 6 months.",1
"Dear Sister

I send you to refer to the import contract that opened the LC


Best regards!",2
"Like talking over the phone, I note down some basic points, if you need any more information, you can contact me directly by phone for advice as quickly as possible!

- Time to issue L/C is usually before delivery date (before B/L date). However, it also depends on the export side, there are cases where they ask to open LC within 10 days after signing the contract/within 30 days after signing the contract…these points are clarified by the company side. with the exporter.
- Timeline for issuing L/C does not need to be shown in the contract, MSB will issue it when it receives the request to issue L/C from Song Linh company.
- Timeline of payment to the supplier: According to the quotation, the exporter is requesting the payment method is L/C at sight: that means Song Linh/MSB company will have to pay immediately to the partner within within 5 days when MSB receives the perfect set of documents as specified on the L/C.

- In addition, on the L/C, there are fields specifying the latest delivery time, the time to present the BCT... so the buyer will also control the delivery time, the time the goods arrive at the port and payment time…

Best regards,",2
"Thank you for the information you support, my side will consult and prepare. If you have any problems, I will talk to you more.

Have a nice day!",1
"I will send you instructions on the preliminary process of issuing LC.

1. Issuance of LC
_ Issuing LC draft: the company compiles information into the Request for opening LC according to the form of MSB with Contract/Invoice/Order….(may be a draft) to send to MSB for pre-release draft. The company sends the draft LC to the partner to check the contents and conditions... If there is any modification, then send it back to MSB to consider whether it is in accordance with the regulations or not. After the two parties have agreed to the content of the LC, the official LC will be issued.
_ Issuing official LC: after being granted a credit line by MSB and being qualified to issue LC, the company sends the original documents for official issuance (Request for opening LC, contract/invoice…, commitment…, commitment). open letter of credit) and maintain balance in the account to collect issuance fee, deposit (if any)….
_ MSB will send a telegram to the counterparty's bank and the SBV will notify the beneficiary to prepare the BCT according to the required LC.
Note: BCT must be sent from SBV according to LC.
2. Report about
_ MSB will check the BCT and send notice to Customer:
+ In case the BCT is valid: for LC at sight, the company is required to pay the BCT within 5 working days from the date of notification to receive the BCT. For deferred LC: the company accepts the payment to receive the BCT and after how many days of late payment, the company will pay the BCT to the partner.
+ In case of invalid BCT: the company considers the option to accept invalid and pay (LC at sight) / accept payment (LC with deferred payment) or disagree, ask the partner to resend documents Correct replenishment within 15 days of delivery, past the deadline replenishment will not be accepted.

In the process of arising, if you have any questions, please send email, we will support! Thank you.

Best regards!",2
"Hi


Please ask end user for copy of configfile. We also need to know :

-slave address
-baudrate
-parity
-stopbit
",1
"Dear Stian Norheim,
I send you our draft PO.
If you Agree all the term, please sign, stamp PO and send Scan PO.
We will payment base on official PO.
Thank you so much!
",2
"
Dear customer


I approve 5 % discount.


We need PO before we can process for order.

Mvh/ Best regards

",3
"Dear Mr. Stian Norheim.
We would like informed you we will process this quote.
Please, send PI for us. we will draft PO and send you!
We have greatly discounted for customers to win bids, could you please discount to us about 5-10% for the quote?
",2
"Dear Mr. Stian Norheim,
Good day to you!
Our customer want to clarify as below:
- “Modbus slave converter needs to be programmed with Modbus parameters (slave address, baud rate ..) so that it can be put into operation.
Modbus converter sets are intermediate devices between Autrosafe and third-party equipment systems, so it is necessary to configure the parameters of the whole head to connect.” ? have you quota programmed in your quotation, right?
- 116-BZ-500/01 include Spare part, interface unit + barrier (Pepperl+Fuchs KFD0-CS-Ex1.54) ? we confirmed with our cus, but they want to confirm from Manufacturer, could you please confirm this problem for us?
We hope to receive your mail.
Thank you so much!
",1
"Dear Mr. Stian Norheim,
Good day to you!
We are confirming with customers about Cert.
They need cert of origin by manufacturer, could you please provide it for us?
Hope to receive your mail.
Thank you so much!
",1
"Please see attached datasheets.
Extra cost for certificate of origin attested by chamber of commerce: 200 USD
Cert of quality ; free of charge. ( Cert. of conformity, Autronica standard.)
Item numbers quoted are correct. ( See datasheets for reference)


I will check for weight and dims, and get back to you.
",3
"Good day to you!
Thank for your support!
We have check the catalogue but we don’t found catalogue for BN-500/EX. Could you please send it to us?
We will clarify with our customer for this new model.
We will contact you when we have a good news.
Thank you so much!
",1
"Good day to you!
We need to your support!
Pls, check and clarify this problem.
Thank you so much!
",1
"Good day to you!
Have you any news?
",1
"Good day to you!
Thank for your quotation!
Pls, clarify our comment as below:
1. Could you please send to us catalogue or data sheet for the goods.
2. We need cert of origin by chamber of commerce and cert of quality by manufacturer ? pls, check and quote for us.
3. Some Item number different our item number (No 1. BSE-320-1 and 116-BSE-320; NO 7. BZB-500 and 116-BZ-500/01).
4. Pls, send to us G.W and Dim for the shipment. we have to estimate freight charge.
Thank you so much!

",1
"Many thanks for your inquiry. Please find attached quotation 19400345 SQ. In the event of an order, please refer to quote number.

Kindly note following: I have not quoted BNB-300/32/Ex. This is part of a module used in EX area, and not allowed to open/repair. I have quoted complete module 116-BN-500/EX

I have quoted 116-BSL-330/1, with preprogrammed / tested Modbus slave.
",3
"Many thanks for your inquiry. Before we are able to submit a quotation we kindly ask you to provide:

-end user
-final destination of goods
-project name, name of rig / vessel / plant
-offshore / onshore
",3
"Good day to you!
Pls, support us for this enquiry!
Thank you so much!
",1
"We introduce about ourself , we are Song Linh trading and services company limited in Viet Nam. 
As far as I know, your company can provide the products as below. 
We would be grateful if you could provide us with a quotation. 
Input module, 8input channels galvanic isolated
Model: BSE-320-1. PN: 03.08.39.030
Maker: Autronica Pc 1
Output module 8 open collector output 
Model: BSJ-310. PN: 03.08.42.076 
Maker: Autronica Pc 1
Loop driver module (127addresses)
Model: BSD-310. PN: 05.08.47.421
Maker: Autronica Pc 1
Communication module 
Model: BSL-310. PN: 07.08.45.103
Maker: Autronica Pc 1
Power module 
Model: BSS-310A 
PN: 02.08.44.074 
Maker: Autronica Pc 1
Input with selfverify module 
Model: BNB-300/32/Ex. 
PN: 02.010.2008.343.00035
Maker: Autronica Pc 2
Modbus slave module 
Model: BSL-330/1. PN: 02.08.46.001
Maker: Autronica Pc 1
Barrier module 
Model: BZB-500 
Maker: Autronica Pc 1
Please kindly check & offer us your best price for the goods. 
*Pls comment enough below information on your quotation: 
- Price term: 
- Delivery time: (G.weight + Dimension)
- Payment term: 
- Model/ Part number/Brand/Origin should be clarified on quotation. 
- Factory calibration document Certificate / catalogue/ drawing c/w quotation to be required. 
We hope to received your quote soon. 
Thank you so much!
",3
"Please see attached. We are awaiting firm,final PO. Please do not forget to check with end user details for programming Modbus slave converter.
",2
"Dear Stian Norheim,
I send you our draft PO.
If you Agree all the term, please sign, stamp PO and send Scan PO.
We will payment base on official PO.
Thank you so much!

",2
"I approve 5 % discount.


We need PO before we can process for order.
",3
"We would like informed you we will process this quote.
Please, send PI for us. we will draft PO and send you!
We have greatly discounted for customers to win bids, could you please discount to us about 5-10% for the quote?

",2
"Good day to you!
Our customer want to clarify as below:
- “Modbus slave converter needs to be programmed with Modbus parameters (slave address, baud rate ..) so that it can be put into operation.
Modbus converter sets are intermediate devices between Autrosafe and third-party equipment systems, so it is necessary to configure the parameters of the whole head to connect.” ? have you quota programmed in your quotation, right?
- 116-BZ-500/01 include Spare part, interface unit + barrier (Pepperl+Fuchs KFD0-CS-Ex1.54) ? we confirmed with our cus, but they want to confirm from Manufacturer, could you please confirm this problem for us?
We hope to receive your mail.
Thank you so much!

Best regards, 
",1
I confirm all items are of Norwegian origin. This will be confirmed in proforma invoice and order acknowledgment when order is placed.,2
"Good day to you!
We are confirming with customers about Cert.
They need cert of origin by manufacturer, could you please provide it for us?
Hope to receive your mail.
Thank you so much!
",1
"Good day to you!
Thank for your support!
We have check the catalogue but we don’t found catalogue for BN-500/EX. Could you please send it to us?
We will clarify with our customer for this new model.
We will contact you when we have a good news.
Thank you so much!
",1
"Dear Sir/Madam,
Good day to you!
Pls, support us for this enquiry!
Thank you so much!
",1
"Thanks for the information.

Hi Mr. Kha,

Thanks for the inquiry. 
Let us check the specification and prepare a quotation.
",3
"Thanks for your enquiry. Please confirm the end user name and end user destination for this enquiry.

Looks like this is for Ba Ria.

We may refer you to our rep in Vietnam, ANP Techncial Company further on this enquiry.

Hi Mr. Vu,

Please help to take it from here.
",2
"Dear Mr. Leong,
Great to see you!
we have a new enquiry as below.
We would be grateful if you could provide us with a quotation
NO Item Description
1 Ball valve DIA 8"" 300RF ARGUS Ball Valve model FK76M 8” x ANSI 300 RF FB; Body: A350LF2, Ball: A351CF8M, Stem: A18F51, Ball seats: PTFE, Stem seals: PTFE/Graphite;; FK76M 8” x ANSI 300 RF FB 
2 Ball vavle DIA 2"" 300RF ARGUS Ball Valve model EK71 2” x ANSI 300 RF FB; Body: A350LF2, Ball: A182F51, Stem: A18F316Ti, Ball seats: PTFE, Stem seals: PTFE/Graphite; EK71 2” x ANSI 300 RF FB 
3 Ball vavle DIA 1"" ARGUS Ball Valve model BK10 1”, PN 100; Body: A350LF2, Ball: A182F51, Stem: A18F51, Ball seats: PTFE, Stem seals: PTFE/Graphite; BK10 1” NPT x SW
4 Ball valve DIA 6"" ARGUS Ball Valve model FK76M 6” x ANSI 300 RF FB; Body: A350LF2, Ball: A351CF8M, Stem: A18F51, Ball seats: PTFE, Stem seals: PTFE/Graphite; FK76M 6” x ANSI 300 RF FB
5 Pressure regulator valve GT1,2 Range working Pressure input : 25 to 27,5 bar 
- Pressure range output : 20 to 22 bar
- pressure input = 25- 27,5 bar; pressure output = 22 bar; 
- Working pressure output: 22 bar; flow = 0- 16000 m3/h (at P=22 bar , Temp = 25 deg C) of 0,6 speccific gravity natural gas 
- Use : NATURAL GAS
- class >= 150
Please kindly check & offer us your best price for the goods. 
*Pls comment enough below information on your quotation: 
- Price term: 
- Delivery time: 
- Payment term: 
- Model/ Part number/Brand/Origin should be clarified on quotation. 
- Certificate sample, CO by chamber of commerce, CQ, Mill Certificate / catalogue/ drawing c/w quotation to be required. 
We hope to received your quote soon. 
Thank you so much!
",3
"Please find our quotation attached and let us know if you need further information.

Best regards,
",3
"Pls find the attached Datasheet for the hub and modem. Will it be good enough for you?

Rgds,
",1
"Thank you for your quotation,

Could you please send us technical documents on detail model?

Many thanks & Best regards,

Toan Vu

",1
"Based on the following information, All baseband (HUB+TERMINALS) has to be replaced. All RF (antenna + BUC and LNB) can be keep it.

Pls find the attached details quotation for your ref.

We still want to do some clarification. Will you have time to have a call with Frank and me by Thur or Friday at 8:30am VN time? Frank is in Canada with time different for 12 hours.

Thanks.
Victor
",3
"Could you please check the list of existing Hub as below and advise that: Which item have to replace, which item may be re-used with your new Hub?

1. Hub: (please find attachment)
- HUB 9300
- Satlink 8560 Forward Link System (ACM License, 5Msps License, 8PSK)
- Satlink 8569 Recieve Link System
- NCC/NMS Server with software & 50 terminals VSAT license
- Satlink NetACC - Acceleration Server
2. Modem: (please find attachment)
- 01 Modem for existing Hub (Satlink 2000)
- 02 Modem for existing system (Satlink 2000)
3. Antenna:
- 01 Antenna: Series 2194 (please find attachment)

If you need any further information, please let us know,

Many thanks & Best regards,
",1
"Feedback from Intellian that:


Because customer requirements are combined Intellian specifications and Cobham specifications.
Any antenna manufacturers can’t meet the customer requirements.

Could you advice if you prefer to use Intellian antenna? Some Cobham requirement need to amend 
",1
"Hi Victor and Toan

It’s pretty clear that the old 9300 HUB doesn’t support the latest technologies, and cannot work compatible with SpaceBridge VASAT system.

As I asked before, does the new system need to be fully redundant? And also, if Mesh network is required for future applications.

Best regards
",1
"As discuss, 9300 not support DVB-S2X. You have to change the hub and modem. 

For our hub, non-redundant cost will less than USD70k. For the modem, it will be less than USD1,500. We are checking Intellian and KNS for the antenna quote.

Frank, what additional info we need to generate the BOM and quote?
",1
"Dear Ivy,

My name is Frank Liu and I am working with Victor to support APAC customers, thanks for your enquiry and interested on our solution.

From the TECHNICAL REQUIREMENTS, here are my questions that need to be clarified:

3.1 Technology of products should be compatible with existing VSAT hub system of Vietsovpetro Exist VSAT system;

1. The compatible with the physical layer or Network IP layer?

3.2 - Modem should be compatible: with exist 9300 HUB system and auto tracking antenna

2. Does it mean the SpaceBridge modem needs to work with 9300 HUB?

3. Does the HUB need Redundancy configuration: Geo Redundancy or 1:1 Redundancy?

4. Does the modem need to be full redundancy in dual antenna operation mode?


Best regards
",2
"Send Vi Quick quotation, origin Denmark. Delivery 2 weeks
CO Alfa Laval grade.

No. Item Description Qty Unit Price
(EUR) Amount
(EUR)
1 9842348700 SOLENOID VALVE 1/2"" EV220B 15
110V 50/60 CS NO (EVSI 15) 2 367.0 734.0
Total Price CIP Hochiminh City Airport (EUR) 734.0",3
"Dear Mr. Triet,

Please give me a good quote to help Vi:
No Description Unit Request MR No
1 Solenoid Valve No EV220B 15 (EVSI 15), Complete set. AQUA Offshore 125 DWGs 98522018
Maker: ALFA LAVAL set 2 294/18
LS

Can you give Vi the price to Song Linh and the price to ask for the EU like he did for Khanh",3
"Dear Mr. Triet,
Wishing you a good and happy start to the week!
Please update me with the information below!",1
"Dear Mr. Triet,
Thank you for the quote!
I need to clarify some information as follows:

1. Quotation: Can you tell me the price you quoted is enough to require 1 Complete set as required, right?
2. Certificate: Can you quote me the cost of CO and CQ fees.
3. Catalog: can you send me the catalog for reference.
Looking forward to your feedback!",1
Can you send me the general price of some of the items you can offer for this package.,3
"Dear Mr. Sea,
I would like to inquire about the price of the following products:
Gear wheel / GA110(W)-125psi - Active Gear Air compressor GA110W-125; GA110W-125; ATA 106 7008
ATA 106 7007
ATA 058 7458 Atlas Copco; Belgium EA 1.00
Gear wheel / GA110(W)-125psi - Passive gear Air compressor GA110W-125; GA110W-125; ATA 106 7008
ATA 106 7007
ATA 058 7458 Atlas Copco; Belgium EA 1.00
Heat exchanger - Atlas copco (Air cooler & Oil cooler) TYPE SEROK.PART NO-45317-5551 Test
pressure-18 Bar Design Temprature- 120? C Volume-6.8 L - Atlas copco Air compressor GA110W-125 oil and gas cooler; GA110W-125; ATA 106 7008 Atlas Copco; Belgium PCS 1.00
Compressor element Atlas copco GA110-125 - Screw Compressor Unit/K???????????? ??????? SET 1.00
Temperature switch - Pressure switch/????????????? ??????????? ATLAS COPCO PCE 3.00
Pressure Transducer - Pressure Transducer/?????? ???????? ATLAS COPCO PCE 3.00
Pressure Transducer - Pressure Transducer/?????? ???????? ATLAS COPCO PCE 3.00
Pressure Transducer - Pressure Transducer/?????? ???????? ATLAS COPCO PCE 3.00
Dp . Transducer - Pressure sensor/?? ??????????????? ATLAS COPCO PCE 3.00
Wire harness - Cable/???? ???????? ATLAS COPCO PCE 3.00
Solenoid Valve - Air compressor solenoid valve GA110W-125; GA110W-125; ATA 106 7008
ATA 106 7007
ATA 058 7458 Atlas Copco; Belgium PCS 3.00
Solenoid valve - Solenoid valve/??????????? ?????? ATLAS COPCO PCE 3.00
Please check and quote for me.
Looking forward to receiving your quote.",3
"Dear Vy,

Please send me sale contract, please check.",2
"Dear Mrs. Direction,
Pleasure to know and work with you.

Please help me make a contract for Vi.

The contract information is as follows:

SONG LINH TRADING & SERVICES CO., LTD
No. 65/9 Binh Gia, Ward 8, Vung Tau City, Ba Ria - Vung Tau Province, Vietnam.
Office: No. 63 Street 30/4, Thang Nhat Ward, Vung Tau City (Next to Petrosetco)
Phone: 0254 3563368
Fax: 0254 3563369
He. Nguyen Tuan Phuong, Director
MST: 3500904295
Account: 008.001161369 at VCB bank Vung Tau branch

Best regards!",2
"Dear Toan,

I sent back BG 03 sets of Satlink 2910, the price of the company increased slightly by 50USD/pc compared to the 2020 quote. Digicom picked up the goods in Australia.

Modem Satlink 2910 supports SOTM for terminals on ships, fully compatible with Satlink hub 9300 customers are using, the company needs to provide Hub information and where to rent the channel for the company to install and activate the modem (pre-configured ).


Best Regards,",3
"Dear Tony,

Following the Bid of 04pcs Satlink 2910 modems, now client want us to clarify one more technical point as below:

Please confirm if the Satlink 2910 modem has the mobile firmware and license to work with Intellian v85NX SOTM antenna as per attachment at no more cost of mobile firmware and license.


Best Regards,

--------------------
",1
"Hi Vi,

The goods come with the original CO issued by the Chamber of Commerce and Industry of the producing/exporting country, see the added contract.


Best Regards",2
